Rank,Medicine,Drug Class,Active Ingredient(s),Drug To Use,Prescriptions,Patients,Percentage Of Time,Cumulative Percentage
tbd,Avodart,5-alpha reductase inhibitor,Dutasteride,Avodart,,,0.00002,0.00002
90,Proscar,5-alpha reductase inhibitor,Finasteride,Proscar,"8,185,106","2,156,558",0.00333,0.00335
tbd,Aceon,ACE inhibitor,Perindopril,Aceon,,,0.00002,0.00336
196,Altace,ACE inhibitor,Ramipril,Altace,"2,466,660","772,772",0.00119,0.00456
141,Lotensin,ACE inhibitor,Benazepril,Lotensin,"4,374,519","1,026,815",0.00159,0.00615
27,Prinivil,ACE inhibitor,Lisinopril,Prinivil,"102,156,580","22,715,897",0.03512,0.04127
tbd,Vasotec,ACE inhibitor,Enalapril,Vasotec,,,0.00002,0.04128
tbd,Cardura,Alpha-1 blocker,Doxazosin,Cardura,,,0.00002,0.04130
24,Flomax,Alpha-1 blocker,Tamsulosin,Flomax,"24,692,402","5,856,108",0.00905,0.05035
tbd,Hytrin,Alpha-1 blocker,Terazosin,Hytrin,,,0.00002,0.05037
tbd,Uroxatral,Alpha-1 blocker,Alfuzosin,Uroxatral,,,0.00002,0.05038
175,Alphagan,Alpha-2 agonist,Brimonidine,Brimonidine,"3,271,308","860,260",0.00133,0.05171
36,Bayer,Analgesic,Aspirin,Aspirin,"17,287,372","4,741,732",0.00733,0.05904
187,Codeine,Analgesic,Opioid,Codeine,"2,791,617","1,314,846",0.00203,0.06107
118,Fioricet,Analgesic,Acetaminophen,Fioricet,"1,870,054","905,716",0.00140,0.06247
tbd,Methadose,Analgesic,Methadone,Methadone,,,0.00002,0.06249
61.5,Oxycodone,Analgesic,Oxycodone,Oxycodone,"22,375,985","6,794,552",0.01050,0.07299
118,Percocet,Analgesic,Acetaminophen,Percocet,"1,870,054","905,716",0.00140,0.07439
tbd,Pyridium,Analgesic,Phenazopyridine,Pyridium,,,0.00002,0.07441
118,Tylenol,Analgesic,Acetaminophen,Tylenol,"1,870,054","905,716",0.00140,0.07581
16,Vicodin,Analgesic,Hydrocodone,Vicodin,"30,100,356","8,587,152",0.01328,0.08909
tbd,Lidoderm,Anesthetic,Lidocaine,Lidocaine,,,0.00002,0.08910
181,Lomaira,Anorectic,Phentermine,Phentermine,"3,071,041","824,329",0.00127,0.09038
182,"Orafate, Carafate",Antiacid,Sucralfate,Sucralfate,"2,971,604","836,122",0.00129,0.09167
198,Nexterone,Antiarrhythmic,Amiodarone,Amiodarone,"2,445,496","677,240",0.00105,0.09272
188,Tambocor,Antiarrhythmic,Flecainide,Flecainide,"2,707,962","558,077",0.00086,0.09358
40,Amoxil,Antibacterial,Amoxicillin,Amoxil,"7,961,454","6,390,326",0.00988,0.10346
68,Zithromax,Antibacterial,Azithromycin,Azithromycin,"10,155,807","7,405,927",0.01145,0.11491
tbd,Bactroban,Antibacterial,Mupirocin,Bactroban,,,0.00002,0.11492
tbd,Biaxin,Antibacterial,Clarithromycin,Clarithromycin,,,0.00002,0.11494
tbd,Cleocin,Antibacterial,Clindamycin,Cleocin,,,0.00002,0.11495
tbd,Flagyl,Antibacterial,Metronidazole,Flagyl,,,0.00002,0.11497
167,Macrobid,Antibacterial,Nitrofurantoin,Macrobid,"3,456,512","2,390,228",0.00370,0.11866
tbd,Sumycin,Antibacterial,Tetracycline  ,Tetracycline  ,,,0.00002,0.11868
40,Augmentin,Antibiotic,Amoxicillin,Augmentin,"7,961,454","6,390,326",0.00988,0.12856
107,Clavulanate,Antibiotic,Amoxicillin,Clavulanate,"6,086,124","4,558,138",0.00705,0.13561
125,Clindacin,Antibiotic,Clindamycin,Clindamycin,"5,130,999","2,709,249",0.00419,0.13979
121,Sulfamethoxazole,Antibiotic,Trimethoprim,Sulfamethoxazole,"5,425,466","3,404,743",0.00526,0.14506
tbd,Alimta,Anticancer,Pemetrexed,Alimta,,,0.00002,0.14507
tbd,Avastin,Anticancer,Bevacizumab,Avastin,,,0.00002,0.14509
112,Aricept,Anticholinergic,Donepezil,Aricept,"5,899,553","1,436,971",0.00222,0.14731
110,Spiriva,Anticholinergic,Tiotropium,Spiriva,"5,933,058","1,191,833",0.00184,0.14915
58,Coumadin,Anticoagulant,Warfarin,Coumadin,"11,467,999","2,424,821",0.00375,0.15290
48,Eliquis,Anticoagulant,Apixaban,Eliquis,"13,918,650","3,305,979",0.00511,0.15801
tbd,Heparin Sodium,Anticoagulant,Heparin,Heparin,,,0.00002,0.15803
tbd,Pradaxa,Anticoagulant,Dabigatran,Pradaxa,,,0.00002,0.15804
86,Xarelto,Anticoagulant,Rivaroxaban,Xarelto,"8,644,837","2,090,497",0.00323,0.16128
109,Depacon,Anticonvulsant,Valproate,Depacon,"6,000,123","909,451",0.00141,0.16268
tbd,Dilantin,Anticonvulsant,Phenytoin,Dilantin,,,0.00002,0.16270
10,Neurontin,Anticonvulsant,Gabapentin,Gabapentin,"49,961,066","10,571,700",0.01634,0.17904
92,Keppra,Anticonvulsant,Levetiracetam,Keppra,"7,967,535","1,469,443",0.00227,0.18131
62,Lamictal,Anticonvulsant,Lamotrigine,Lamictal,"10,801,628","1,713,712",0.00265,0.18396
78,Lyrica,Anticonvulsant,Pregabalin,Lyrica,"9,227,867","1,711,184",0.00265,0.18661
144,Trileptal,Anticonvulsant,Oxcarbazepine,Oxcarbazepine,"4,276,699","567,473",0.00088,0.18748
185,Tegretol,Anticonvulsant,Carbamazepine,Tegretol,"2,858,880","440,198",0.00068,0.18817
57,Topamax,Anticonvulsant,Topiramate,Topamax,"11,482,269","2,124,766",0.00328,0.19145
27,Cymbalta,Antidepressant,Duloxetine,Cymbalta,"22,546,920","4,461,604",0.00690,0.19835
176,Pristiq,Antidepressant,Desvenlafaxine,Desvenlafaxine,"3,267,575","624,316",0.00097,0.19931
21,Desyrel,Antidepressant,Trazodone,Desyrel,"26,210,731","5,294,364",0.00819,0.20750
81,Elavil,Antidepressant,Amitriptyline,Elavil,"9,083,401","1,850,495",0.00286,0.21036
197,Eskalith,Antidepressant,Lithium,Lithium,"2,460,054","396,292",0.00061,0.21097
104,Remeron,Antidepressant,Mirtazapine,Mirtazapine,"6,601,131","1,160,871",0.00179,0.21277
155,Pamelor,Antidepressant,Nortriptyline,Pamelor,"3,815,024","695,323",0.00107,0.21384
tbd,Tofranil,Antidepressant,Imipramine,Tofranil,,,0.00002,0.21386
18,Wellbutrin,Antidepressant,Bupropion,Wellbutrin,"28,889,368","5,801,282",0.00897,0.22283
87,Amaryl,Antidiabetic,Glimepiride,Amaryl,"8,566,883","1,899,338",0.00294,0.22576
200,DiaBeta,Antidiabetic,Glyburide,DiaBeta,"2,417,882","506,025",0.00078,0.22654
3,Glucophage,Antidiabetic,Metformin,Glucophage,"92,591,486","20,122,987",0.03111,0.25765
49,Glucotrol,Antidiabetic,Glipizide,Glucotrol,"13,674,142","3,383,057",0.00523,0.26288
80,NovoLog,Antidiabetic,Insulin Aspart,Insulin Aspart,"9,124,642","1,929,132",0.00298,0.26587
124,Levemir,Antidiabetic,Insulin Detemir,Insulin Detemir,"5,164,647","1,111,229",0.00172,0.26758
32,Lantus,Antidiabetic,Insulin Glargine,Insulin Glargine,"17,973,209","3,662,505",0.00566,0.27325
tbd,HumuLIN,Antidiabetic,Insulin isophane,Insulin isophane,,,0.00002,0.27326
71,HumaLOG,Antidiabetic,Insulin Lispro,Insulin Lispro,"10,013,738","2,272,153",0.00351,0.27677
74,Januvia,Antidiabetic,Sitagliptin,Januvia,"9,885,657","1,937,355",0.00300,0.27977
102,Jardiance,Antidiabetic,Empagliflozin,Jardiance,"6,724,608","1,607,647",0.00249,0.28226
129,Ozempic,Antidiabetic,Semaglutide,Semaglutide,"4,827,483","1,126,514",0.00174,0.28400
154,Sitagliptin,Antidiabetic,Metformin,Sitagliptin,"3,847,462","726,067",0.00112,0.28512
136,Tresiba,Antidiabetic,Insulin Degludec,Tresiba,"4,600,262","932,573",0.00144,0.28656
96,Trulicity,Antidiabetic,Dulaglutide,Trulicity,"7,657,320","1,506,236",0.00233,0.28889
tbd,Kytril,Antiemetic,Granisetron,Kytril,,,0.00002,0.28891
83,Zofran,Antiemetic,Ondansetron,Zofran,"8,773,584","4,247,796",0.00657,0.29547
174,Diflucan,Antifungal,Fluconazole,Diflucan,"3,308,929","2,031,951",0.00314,0.29861
tbd,Lotrisone,Antifungal,Clotrimazole,Lotrisone,,,0.00002,0.29863
170,Nizoral Topical,Antifungal,Ketoconazole,Nizoral Topical,"3,417,349","1,674,690",0.00259,0.30122
tbd,Colcrys,Anti-gout,Colchicine,Colcrys,,,0.00002,0.30123
42,Zyloprim,Anti-gout,Allopurinol,Zyloprim,"15,303,283","3,606,249",0.00558,0.30681
173,Optivar,Antihistamine,Azelastine,Azelastine,"3,334,304","1,210,421",0.00187,0.30868
192,Benadryl,Antihistamine,Diphenhydramine,Benadryl,"2,614,773","564,389",0.00087,0.30955
tbd,Tussionex PennKinetic,Antihistamine,Chlorpheniramine,Chlorpheniramine,,,0.00002,0.30957
73,Claritin,Antihistamine,Loratadine,Claritin,"9,914,365","2,695,131",0.00417,0.31373
70,Vistaril,Antihistamine,Hydroxyzine,Hydroxyzine,"10,058,837","2,967,009",0.00459,0.31832
